schema,DG_ted,JE_ted,JSF_ted,DG_type_of_errors,JE_type_of_errors,JSF_type_of_errors
o21240,17,,644,[],[],[]
o21242,4,,85,[],[],[]
o21243,7,,822,[],[],[]
o21244,17,,1462,[],[],[]
o21246,4,,183,[],[],[]
o21247,7,,1942,[],[],[]
o21248,17,,1339,[],[],[]
o21250,5,,94,[],[],[]
o21251,8,,196,[],[],[]
o21252,18,,1017,[],[],[]
o21254,6,,67,[],[],[]
o21255,7,,525,[],[],[]
o21256,17,,915,[],[],[]
o21258,5,,185,[],[],[]
o21259,7,,1438,[],[],[]
o21260,20,,1074,[],[],[]
o21262,6,,79,[],[],[]
o21263,7,,564,[],[],[]
o21264,19,,641,[],[],[]
o21266,4,,51,[],[],[]
o21267,10,,1749,[],[],[]
o21268,21,,602,[],[],[]
o21270,7,,85,[],[],[]
o21271,7,,592,[],[],[]
o21272,18,,823,[],[],[]
o21274,4,,43,[],[],[]
o21275,8,,986,[],[],[]
o21276,19,,383,[],[],[]
o21278,5,,47,[],[],[]
o21279,8,,1058,[],[],[]
o21280,18,,1160,[],[],[]
o21282,6,,47,[],[],[]
o21283,7,,1563,[],[],[]
o21284,18,,423,[],[],[]
o21285,0,0,100,[],[],[]
o21286,5,,117,[],[],[]
o21287,7,,1228,[],[],[]
o21288,18,,1795,[],[],[]
o21289,0,0,48,[],[],[]
o21290,5,,161,[],[],[]
o21291,7,,1279,[],[],[]
o21292,18,,902,[],[],[]
o21294,5,,201,[],[],[]
o21299,10,,403,[],[],[]
o21300,22,,1667,[],[],[]
o21302,8,,79,[],[],[]
o21303,8,,2223,[],[],[]
o21304,19,,1096,[],[],[]
o21305,0,0,99,[],[],[]
o21306,7,,82,[],[],[]
o21307,7,,2776,[],[],[]
o21308,18,,1237,[],[],[]
o21310,5,,344,[],[],[]
o21311,7,,,[],[],[]
o21312,17,,3415,[],[],[]
o21314,5,,793,[],[],[]
o21315,7,,960,[],[],[]
o21316,17,,1327,[],[],[]
o21318,5,,55,[],[],[]
o21319,7,,810,[],[],[]
o21320,16,,1010,[],[],[]
o21322,4,,75,[],[],[]
o21323,9,,1555,[],[],[]
o21324,19,,,[],[],[]
o21326,5,,105,[],[],[]
o21327,8,,1271,[],[],[]
o21328,20,,1844,[],[],[]
o21329,0,0,19,[],[],[]
o21330,7,,181,[],[],[]
o21331,4,,158,[],[],[]
o21332,5,,323,[],[],[]
o21334,3,,46,[],[],[]
o21335,8,,993,[],[],[]
o21339,7,,936,[],[],[]
o21343,7,,1747,[],[],[]
o21344,19,,313,[],[],[]
o21345,0,0,78,[],[],[]
o21346,5,,66,[],[],[]
o21351,7,,1383,[],[],[]
o21352,16,,,[],[],[]
o21354,5,,67,[],[],[]
o21355,7,,1382,[],[],[]
o21356,17,,1000,[],[],[]
o21358,4,,163,[],[],[]
o21359,7,,,[],[],[]
o21360,17,,,[],[],[]
o21361,0,0,2,[],[],[]
o21362,4,,79,[],[],[]
o21363,8,,1621,[],[],[]
o21364,19,,1466,[],[],[]
o21366,7,,139,[],[],[]
o21367,7,,1391,[],[],[]
o21368,20,,1759,[],[],[]
o21370,6,,63,[],[],[]
o21371,8,,1163,[],[],[]
o21372,20,,1789,[],[],[]
o21374,3,,73,[],[],[]
o21375,9,,1498,[],[],[]
o21376,19,,1007,[],[],[]
o21378,6,,,[],[],[]
o21379,11,,1392,[],[],[]
o21380,22,,1275,[],[],[]
o21381,0,0,24,[],[],[]
o21382,8,,64,[],[],[]
o21383,9,,,[],[],[]
o21384,18,,1440,[],[],[]
o21386,7,,87,[],[],[]
o21387,10,,769,[],[],[]
o21388,20,,1501,[],[],[]
o21389,0,0,31,[],[],[]
o21390,8,,74,[],[],[]
o21391,9,,1010,[],[],[]
o21392,17,,736,[],[],[]
o21393,0,0,6,[],[],[]
o21394,6,,95,[],[],[]
o21395,9,,520,[],[],[]
o21396,21,,597,[],[],[]
o21398,7,,64,[],[],[]
o21399,7,,1414,[],[],[]
o2140,1,20,1,[],[],"['type', 'not']"
o21400,17,,1940,[],[],[]
o21402,4,,46,[],[],[]
o21403,7,,1385,[],[],[]
o21404,16,,,[],[],[]
o21405,0,0,86,[],[],[]
o21406,5,,85,[],[],[]
o21407,9,,1442,[],[],[]
o21408,21,,1712,[],[],[]
o2141,1,714,8,[],[],[]
o21410,7,,79,[],[],[]
o21411,7,,1200,[],[],[]
o21412,18,,579,[],[],[]
o21414,5,,134,[],[],[]
o21415,13,,524,[],[],[]
o21416,24,,1572,[],[],[]
o21418,11,,115,[],[],[]
o21419,8,,1138,[],[],[]
o2142,0,15,0,[],"['pattern', 'type', 'not']",[]
o21420,16,,1503,[],[],[]
o21421,0,0,56,[],[],[]
o21422,6,,75,[],[],[]
o21423,7,,1838,[],[],[]
o21424,20,,924,[],[],[]
o21426,6,,34,[],[],[]
o21427,5,,624,[],[],[]
o21428,7,,1489,[],[],[]
o21429,17,,312,[],[],[]
o21431,4,,71,[],[],[]
o21432,7,,1570,[],[],[]
o21434,0,0,45,[],[],[]
o21436,9,,1451,[],[],[]
o21437,19,,1204,[],[],[]
o21439,7,,184,[],[],[]
o21442,7,,562,[],[],[]
o21464,5,,5,[],[],[]
o21466,5,,7,[],[],[]
