schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o81597,8,,10,0,,0,21,21,,23
o81600,6,,18,0,,0,15,15,,27
o81650,0,0,41,0,0,0,1,1,1,45
o81652,3,,135,0,,4,11,11,,145
o81671,0,14,6,0,0,0,5,5,19,11
o81686,4,,6,0,,0,13,13,,15
o81723,0,0,12,0,0,0,1,1,1,13
o81725,0,141,4,0,0,0,1,1,207,5
o81728,0,103,16,0,0,0,1,1,119,17
o81742,0,,56,0,,0,1,1,,61
o81745,1,,1,0,,0,1,1,,1
o81880,0,2,10,0,0,0,1,1,3,11
o82144,1,3,353,0,0,1,3,3,5,403
o82145,0,0,22,0,0,0,1,1,1,23
o82148,3,,25,0,,0,7,7,,29
o82149,3,113,5,0,1,0,9,9,155,11
o82151,0,51,933,0,0,0,3,3,53,1103
o82154,4,,7,0,,0,9,9,,13
o82156,1,67,8,0,1,0,9,9,97,15
o82159,0,18,46,0,0,0,1,1,21,47
o82199,0,225,19,0,7,0,5,5,311,27
o82223,0,11,2,0,4,0,1,1,17,5
o82234,0,0,8,0,0,0,1,1,1,9
o82239,1,,1,0,,0,1,1,,1
o82241,1,1,48,0,0,0,3,3,3,55
o82243,1,,,0,,,3,3,,
o82248,13,14,68,0,0,0,29,29,29,93
o82250,19,71,67,0,0,0,65,65,147,133
o82251,1,3,43,0,1,0,3,3,5,45
o82252,4,76,53,0,4,0,15,15,107,65
o82255,,,203,,,0,5,,,219
o82256,0,76,44,0,0,0,1,1,93,59
o82257,2,,1,0,,0,5,5,,5
o82258,4,,502,0,,1,33,33,,555
o82259,3,,110,0,,0,17,17,,149
o82273,1,44,38,0,25,2,5,5,87,61
o82278,1,,132,0,,0,7,7,,143
o82281,1,,58,0,,0,5,5,,75
o82282,1,3,5,0,0,0,3,3,5,7
o82284,1,1,1,0,1,0,3,3,3,3
o82286,0,0,2,0,0,0,1,1,1,3
o82288,0,4,2,0,0,0,1,1,5,3
o82290,0,20,6,0,0,0,1,1,21,7
o82292,1,1,7,0,1,0,3,3,3,9
o82294,0,88,6,0,0,0,1,1,125,7
o82296,1,3,5,0,2,0,3,3,5,7
o82298,1,3,3,0,2,0,3,3,5,5
o82300,1,1,7,0,1,0,3,3,3,9
o82305,0,4,8,0,0,0,1,1,5,9
o82307,0,4,6,0,0,0,1,1,5,7
o82311,0,4,12,0,0,0,1,1,5,13
o82317,2,6,27,0,3,0,5,5,9,33
o82323,2,6,10,0,2,0,5,5,9,13
o82331,2,6,10,0,2,0,5,5,9,13
o82337,2,,16,0,,0,5,5,,19
o82339,2,6,24,0,2,0,5,5,9,27
o82346,2,2,22,0,2,0,5,5,5,27
o82347,2,22,26,0,2,0,5,5,31,31
o82349,2,6,20,0,1,0,5,5,9,25
o82351,2,6,18,0,3,0,5,5,9,21
o82369,2,,10,0,,0,5,5,,13
o82370,2,2,22,0,1,0,5,5,5,25
